persona_slug,mode,plan,model,n,mean_words,p95_words,fm_over_rate,std_over_rate,persona_lexicon_rate,universal_lexicon_rate,anti_flex_rate,modern_leak_rate,would_correct_rate,errors,ends_q_rate,no_opening_rate,stance_observation_rate,stance_any_rate
carl_jung,deep,free,claude-haiku-4-5-20251001,3,192.3,208,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0
carl_jung,standard,free,claude-haiku-4-5-20251001,7,114.0,170,0.7143,0.7143,0.0,0.0,0.0,0.1429,0.0,0,0.7143,0.0,0.1429,0.7143
epictetus,deep,free,claude-haiku-4-5-20251001,3,207.3,220,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.3333,1.0,1.0
epictetus,standard,free,claude-haiku-4-5-20251001,7,137.6,169,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.0,0.0,0.8571
george_orwell,deep,free,claude-haiku-4-5-20251001,3,239.3,260,1.0,1.0,0.3333,0.0,0.0,0.0,0.3333,0,1.0,0.0,0.0,1.0
george_orwell,standard,free,claude-haiku-4-5-20251001,7,143.6,161,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.0,0.0,0.5714
lao_tzu,deep,free,claude-haiku-4-5-20251001,3,170.3,214,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.6667,1.0
lao_tzu,standard,free,claude-haiku-4-5-20251001,7,104.4,146,1.0,1.0,0.1429,0.0,0.0,0.0,0.1429,0,1.0,0.0,0.1429,0.5714
marcus_aurelius,deep,free,claude-haiku-4-5-20251001,3,192.3,211,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.6667
marcus_aurelius,standard,free,claude-haiku-4-5-20251001,7,125.1,153,0.8571,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.1429,0.1429,0.8571
miyamoto_musashi,deep,free,claude-haiku-4-5-20251001,3,201.7,237,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.0,0.6667
miyamoto_musashi,standard,free,claude-haiku-4-5-20251001,7,133.1,201,0.8571,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.0,0.0,0.4286
niccolo_machiavelli,deep,free,claude-haiku-4-5-20251001,3,218.3,241,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.3333,0.0,0.0,1.0
niccolo_machiavelli,standard,free,claude-haiku-4-5-20251001,7,146.9,216,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.4286
oscar_wilde,deep,free,claude-haiku-4-5-20251001,3,192.7,222,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0
oscar_wilde,standard,free,claude-haiku-4-5-20251001,7,107.6,144,0.7143,0.7143,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.0,0.0,0.4286
sigmund_freud,deep,free,claude-haiku-4-5-20251001,3,194.0,218,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.6667,1.0
sigmund_freud,standard,free,claude-haiku-4-5-20251001,7,116.9,151,1.0,1.0,0.1429,0.0,0.0,0.0,0.1429,0,1.0,0.0,0.1429,0.5714
simone_de_beauvoir,deep,free,claude-haiku-4-5-20251001,3,188.3,207,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.3333,1.0
simone_de_beauvoir,standard,free,claude-haiku-4-5-20251001,7,145.1,236,0.8571,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.7143
socrates,deep,free,claude-haiku-4-5-20251001,3,178.0,220,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,0.3333,0.0,0.6667,1.0
socrates,standard,free,claude-haiku-4-5-20251001,7,67.3,110,0.1429,0.1429,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.2857
