persona_slug,mode,plan,model,n,mean_words,p95_words,fm_over_rate,std_over_rate,persona_lexicon_rate,universal_lexicon_rate,anti_flex_rate,modern_leak_rate,would_correct_rate,errors,ends_q_rate,no_opening_rate,stance_observation_rate,stance_any_rate
carl_jung,deep,free,claude-haiku-4-5-20251001,3,179.0,197,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.3333,0.6667
carl_jung,deep,pro,claude-sonnet-4-6,3,146.0,152,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0
carl_jung,standard,free,claude-haiku-4-5-20251001,7,94.6,127,0.7143,0.7143,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.2857
carl_jung,standard,pro,claude-sonnet-4-6,7,89.0,110,0.4286,0.4286,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.1429,0.0,0.4286
epictetus,deep,free,claude-haiku-4-5-20251001,3,193.3,206,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.3333,0.3333,1.0
epictetus,deep,pro,claude-sonnet-4-6,3,119.0,125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.3333
epictetus,standard,free,claude-haiku-4-5-20251001,7,94.1,113,0.7143,0.7143,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.5714
epictetus,standard,pro,claude-sonnet-4-6,7,81.3,156,0.1429,0.1429,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.0,0.1429,0.4286
george_orwell,deep,free,claude-haiku-4-5-20251001,3,220.0,228,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.3333,1.0
george_orwell,deep,pro,claude-sonnet-4-6,3,179.0,186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.0,1.0
george_orwell,standard,free,claude-haiku-4-5-20251001,7,131.9,168,0.7143,0.7143,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.0,0.0,0.5714
george_orwell,standard,pro,claude-sonnet-4-6,7,101.3,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.4286
lao_tzu,deep,free,claude-haiku-4-5-20251001,3,160.3,191,1.0,1.0,0.3333,0.0,0.0,0.0,0.3333,0,0.3333,0.3333,0.3333,0.6667
lao_tzu,deep,pro,claude-sonnet-4-6,3,90.3,114,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.3333
lao_tzu,standard,free,claude-haiku-4-5-20251001,7,104.6,150,1.0,1.0,0.0,0.0,0.0,0.1429,0.0,0,1.0,0.0,0.1429,0.8571
lao_tzu,standard,pro,claude-sonnet-4-6,7,61.1,72,0.1429,0.1429,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.2857
marcus_aurelius,deep,free,claude-haiku-4-5-20251001,3,177.3,193,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0
marcus_aurelius,deep,pro,claude-sonnet-4-6,3,126.3,132,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0
marcus_aurelius,standard,free,claude-haiku-4-5-20251001,7,100.4,115,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.8571
marcus_aurelius,standard,pro,claude-sonnet-4-6,7,75.4,95,0.2857,0.2857,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.2857
miyamoto_musashi,deep,free,claude-haiku-4-5-20251001,3,145.3,164,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333,0.0,1.0
miyamoto_musashi,deep,pro,claude-sonnet-4-6,3,117.0,136,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.0,0.6667
miyamoto_musashi,standard,free,claude-haiku-4-5-20251001,7,112.6,152,0.8571,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.5714
miyamoto_musashi,standard,pro,claude-sonnet-4-6,7,76.0,82,0.1429,0.1429,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.0
niccolo_machiavelli,deep,free,claude-haiku-4-5-20251001,3,193.3,228,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.3333,0.3333,1.0
